source,domain,time_period,variable,path
BRAN2020,atm,annual,"['land_mask', 'ice_mask', 'wind', 't_surf', 'tau_x', 'tau_y', 'u_star', 'u_atm', 'v_atm', 'shflx', 'lwflx', 'rh_ref', 'q_ref']",/g/data/gb6/BRAN/BRAN2020/annual/atm_flux_diag_ann_1993.nc
BRAN2020,atm,annual,"['land_mask', 'ice_mask', 'wind', 't_surf', 'tau_x', 'tau_y', 'u_star', 'u_atm', 'v_atm', 'shflx', 'lwflx', 'rh_ref', 'q_ref']",/g/data/gb6/BRAN/BRAN2020/annual/atm_flux_diag_ann_1994.nc
BRAN2020,atm,annual,"['land_mask', 'ice_mask', 'wind', 't_surf', 'tau_x', 'tau_y', 'u_star', 'u_atm', 'v_atm', 'shflx', 'lwflx', 'rh_ref', 'q_ref']",/g/data/gb6/BRAN/BRAN2020/annual/atm_flux_diag_ann_1995.nc
BRAN2020,atm,annual,"['land_mask', 'ice_mask', 'wind', 't_surf', 'tau_x', 'tau_y', 'u_star', 'u_atm', 'v_atm', 'shflx', 'lwflx', 'rh_ref', 'q_ref']",/g/data/gb6/BRAN/BRAN2020/annual/atm_flux_diag_ann_1996.nc
BRAN2020,atm,annual,"['land_mask', 'ice_mask', 'wind', 't_surf', 'tau_x', 'tau_y', 'u_star', 'u_atm', 'v_atm', 'shflx', 'lwflx', 'rh_ref', 'q_ref']",/g/data/gb6/BRAN/BRAN2020/annual/atm_flux_diag_ann_1997.nc
BRAN2020,atm,annual,"['land_mask', 'ice_mask', 'wind', 't_surf', 'tau_x', 'tau_y', 'u_star', 'u_atm', 'v_atm', 'shflx', 'lwflx', 'rh_ref', 'q_ref']",/g/data/gb6/BRAN/BRAN2020/annual/atm_flux_diag_ann_1998.nc
BRAN2020,atm,annual,"['land_mask', 'ice_mask', 'wind', 't_surf', 'tau_x', 'tau_y', 'u_star', 'u_atm', 'v_atm', 'shflx', 'lwflx', 'rh_ref', 'q_ref']",/g/data/gb6/BRAN/BRAN2020/annual/atm_flux_diag_ann_1999.nc
BRAN2020,atm,annual,"['land_mask', 'ice_mask', 'wind', 't_surf', 'tau_x', 'tau_y', 'u_star', 'u_atm', 'v_atm', 'shflx', 'lwflx', 'rh_ref', 'q_ref']",/g/data/gb6/BRAN/BRAN2020/annual/atm_flux_diag_ann_2000.nc
BRAN2020,atm,annual,"['land_mask', 'ice_mask', 'wind', 't_surf', 'tau_x', 'tau_y', 'u_star', 'u_atm', 'v_atm', 'shflx', 'lwflx', 'rh_ref', 'q_ref']",/g/data/gb6/BRAN/BRAN2020/annual/atm_flux_diag_ann_2001.nc
BRAN2020,atm,annual,"['land_mask', 'ice_mask', 'wind', 't_surf', 'tau_x', 'tau_y', 'u_star', 'u_atm', 'v_atm', 'shflx', 'lwflx', 'rh_ref', 'q_ref']",/g/data/gb6/BRAN/BRAN2020/annual/atm_flux_diag_ann_2002.nc
BRAN2020,atm,annual,"['land_mask', 'ice_mask', 'wind', 't_surf', 'tau_x', 'tau_y', 'u_star', 'u_atm', 'v_atm', 'shflx', 'lwflx', 'rh_ref', 'q_ref']",/g/data/gb6/BRAN/BRAN2020/annual/atm_flux_diag_ann_2003.nc
BRAN2020,atm,annual,"['land_mask', 'ice_mask', 'wind', 't_surf', 'tau_x', 'tau_y', 'u_star', 'u_atm', 'v_atm', 'shflx', 'lwflx', 'rh_ref', 'q_ref']",/g/data/gb6/BRAN/BRAN2020/annual/atm_flux_diag_ann_2004.nc
BRAN2020,atm,annual,"['land_mask', 'ice_mask', 'wind', 't_surf', 'tau_x', 'tau_y', 'u_star', 'u_atm', 'v_atm', 'shflx', 'lwflx', 'rh_ref', 'q_ref']",/g/data/gb6/BRAN/BRAN2020/annual/atm_flux_diag_ann_2005.nc
BRAN2020,atm,annual,"['land_mask', 'ice_mask', 'wind', 't_surf', 'tau_x', 'tau_y', 'u_star', 'u_atm', 'v_atm', 'shflx', 'lwflx', 'rh_ref', 'q_ref']",/g/data/gb6/BRAN/BRAN2020/annual/atm_flux_diag_ann_2006.nc
